observaciones,pozos
13,ARCABUZ-195--
13,ARCABUZ-196--
14,ARCABUZ-197--
14,ARCABUZ-198--
1,ARCABUZ-2--
13,ARCABUZ-235--
14,ARCABUZ-238--
14,ARCABUZ-239--
13,ARCABUZ-241--
14,ARCABUZ-242--
14,ARCABUZ-243--
14,ARCABUZ-244--
14,ARCABUZ-245--
14,ARCABUZ-246--
14,ARCABUZ-257--
14,ARCABUZ-259--
14,ARCABUZ-262--
14,ARCABUZ-277--
14,ARCABUZ-288--
14,ARCABUZ-289--
14,ARCABUZ-290--
14,ARCABUZ-292--
14,ARCABUZ-294--
14,ARCABUZ-295--
14,ARCABUZ-296--
13,ARCABUZ-297--
14,ARCABUZ-298--
14,ARCABUZ-30--
1,ARCABUZ-300--
14,ARCABUZ-303--
3,ARCABUZ-304--
14,ARCABUZ-305--
3,ARCABUZ-308--
13,ARCABUZ-309--
3,ARCABUZ-312--
14,ARCABUZ-313--
14,ARCABUZ-317--
14,ARCABUZ-318--
3,ARCABUZ-319--
14,ARCABUZ-320--
14,ARCABUZ-323--
3,ARCABUZ-330--
14,ARCABUZ-331--
14,ARCABUZ-333--
14,ARCABUZ-336--
14,ARCABUZ-338H-
14,ARCABUZ-339--
13,ARCABUZ-340--
14,ARCABUZ-341--
14,ARCABUZ-346--
14,ARCABUZ-347--
14,ARCABUZ-348--
1,ARCABUZ-350--
1,ARCABUZ-351--
14,ARCABUZ-356--
14,ARCABUZ-360--
14,ARCABUZ-362--
14,ARCABUZ-363--
14,ARCABUZ-364--
14,ARCABUZ-370--
12,ARCABUZ-371--
14,ARCABUZ-373--
14,ARCABUZ-374--
14,ARCABUZ-376--
14,ARCABUZ-377--
14,ARCABUZ-380--
14,ARCABUZ-382--
14,ARCABUZ-384--
14,ARCABUZ-387--
14,ARCABUZ-391--
14,ARCABUZ-394--
14,ARCABUZ-401--
14,ARCABUZ-402--
14,ARCABUZ-403--
3,ARCABUZ-404--
14,ARCABUZ-405--
13,ARCABUZ-406--
14,ARCABUZ-407--
14,ARCABUZ-408--
14,ARCABUZ-409--
14,ARCABUZ-410--
14,ARCABUZ-411--
14,ARCABUZ-412--
14,ARCABUZ-413--
14,ARCABUZ-415--
14,ARCABUZ-416--
14,ARCABUZ-417--
14,ARCABUZ-419--
14,ARCABUZ-420--
14,ARCABUZ-421--
14,ARCABUZ-422--
14,ARCABUZ-423--
14,ARCABUZ-424--
14,ARCABUZ-425--
14,ARCABUZ-426--
14,ARCABUZ-427--
14,ARCABUZ-428--
14,ARCABUZ-429--
14,ARCABUZ-430--
14,ARCABUZ-431--
14,ARCABUZ-440--
14,ARCABUZ-441--
8,ARCABUZ-450--
14,ARCABUZ-503--
14,ARCABUZ-504--
14,ARCABUZ-506--
14,ARCABUZ-510--
14,ARCABUZ-515--
14,ARCABUZ-517--
1,ARCABUZ-522--
14,ARCABUZ-523--
14,ARCABUZ-524--
1,ARCABUZ-526--
14,ARCABUZ-527--
14,ARCABUZ-528--
14,ARCABUZ-529--
14,ARCABUZ-53--
14,ARCABUZ-531--
14,ARCABUZ-532--
14,ARCABUZ-534--
14,ARCABUZ-536--
14,ARCABUZ-537--
14,ARCABUZ-538--
14,ARCABUZ-539--
13,ARCABUZ-540--
14,ARCABUZ-541--
14,ARCABUZ-542--
14,ARCABUZ-543--
14,ARCABUZ-545--
1,ARCABUZ-550--
14,ARCABUZ-555--
14,ARCABUZ-557--
14,ARCABUZ-558--
14,ARCABUZ-559--
14,ARCABUZ-560--
14,ARCABUZ-561--
14,ARCABUZ-562--
14,ARCABUZ-563--
14,ARCABUZ-564--
14,ARCABUZ-565--
13,ARCABUZ-568--
14,ARCABUZ-569--
14,ARCABUZ-570--
14,ARCABUZ-575--
14,ARCABUZ-576--
14,ARCABUZ-579--
14,ARCABUZ-586--
13,ARCABUZ-602--
